id,question_text,answer_text,topic,subtopic,source_page,material_id,chapter,subject_id,user_id
1,"Tendencias de cambio estructural (""marco global"")","Se refiere a fenómenos internacionales que afectan el desarrollo de los negocios.
Factores clave:
Globalización económica y cultural.
Desarrollo tecnológico e industrias emergentes.
Cambios demográficos y sociales.
Regulaciones medioambientales a escala global.
Determina las condiciones futuras del mercado y guía la estrategia a largo plazo.",contexto,ambitos,44,25,2,1,3
2,que gusto tiene la sal?,salado,salitud,salita,78886,25,19816918,1,4
3,azucar,dulce,celia,cruz,98779,25,79,1,5
4,UHJlZ3VudGE6IFBLAwQUAAYACAAAACEAw5YEw5lRVQMAAMO+EAAAFAAAAHBwdC9wcmVzZW50YXRpb24ueG1sw6zCl8ORbsObIBTChsOvJ8OtHSzDn07CqQPCtsKxEzXCqcOSbcKZJnVSw5V2D0BtwpJaw4XDhgLDksK1wp3DtsOuOxDCnMKQUE3ClXbCm8KrYMO+w4PDj8OhczjChsOzwovDp8KWR09MwqpGdMKzGMKdwo3Do8KIdcKVwqjCm249wot/w54tR2UcKU3Cu8KacsORwrFZw7zDglR8McO/w7jDocK8wp/DtsKSKcOWacKqYWgENsKdwprDklnDvMKgdT9NElU9wrDClsKqM8ORwrMOwrTClcKQLcOVw7Aow5dJLcOpL8Kwb3nCgsOHY8KSwrTCtMOpYjdewr5nwrxYwq3CmsKKfRHDlcKmwoXDqcK3JsKSccKbwod6aHo1wrjDtcOvccOzV3HCmMKSwqJPw6x2c8KvwphewopOK8KgE8OPYcOZworDlz/CqMOSTH7Cr8KvwpQ+w6rCicKaehZjwpQVWcKZwpIMw5jDicKpw6kBBcOFw4nDvDx5a3gnNFPDv8Oqw5vCm8Ogw5zCucK8NQbCnA/Dm8ObZHLDomXCgcONw7hDecOiw4nDqcKxwpzCosOMwpPCs1DDtsONbXLChzLDtmQSw4rCqScXwoFMw4bCnlzChsKjw73DjCfDoWjDpMOTHwc6w7bDncKRfT3Ch8Ojw73DnFEALsOFB8O+ITnDoi8OwoXDqMKITxbChcOsSMOuw6shPMOiwqNHb8OQK8Kow6LCscO8VsOCwrLDm1zigaTCssKxw6FPIcKyw4LCscOcwrLCu8K6w5vCssKwwrDCusOfwq/CssKywrFcwrLCsUXjgI3CssODw4LCsMKxwrjCsMKxV8Kow4LCqsKxwrDCqMKwwqjDicKwIMK8wrjCscKwwrDDgsKwwrHCpn4hwqjCscKyfsKmwrHDm8KxfuKBuCDCpsKxfsKww4jCusK6wrHCo8Kj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,27,,1,3
5,Respuesta: [Respuesta generada por IA],Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,27,,1,4
6,UHJlZ3VudGE6IFBLAwQUAAYACAAAACEAwplVfgXDuQAAAMOhAgAACwAIAl9yZWxzLy5yZWxzIMKiBAIowqAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD0o4pePKVxy,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,5
7,"For purposes of classification, \(()\) consists of a list of all occurrences of \(",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,3
8,"\) within \({([x,x)]\)). Therefore each occurrence corresponds to all occurrences of \({([x,x])]\), but not \({([x,x])]\).",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,4
9,"For simplicity reasons, \(()\) consists of the \(`x\) element list. Thus \(()\) has three properties, which make \(()\) the",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,5
10,Respuesta: [Respuesta generada por IA],Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,3
11,Pregunta: %PDF-1.7,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
12,%µµµµ,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
13,1 0 obj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
14,<</Type/Catalog/Pages 2 0 R/Lang(en) /StructTreeRoot 25 0 R/MarkInfo<</Marked true>>/Metadata 267 0 R/ViewerPreferences 268 0 R>>,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
15,endobj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
16,2 0 obj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
17,<</Type/Pages/Count 1/Kids[ 3 0 R] >>,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
18,endobj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
19,3 0 obj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
20,"<</Type/Page/Parent 2 0 R/Resources<</Font<</F1 5 0 R/F2 9 0 R/F3 12 0 R/F4 17 0 R/F5 19 0 R>>/ExtGState<</GS7 7 0 R/GS8 8 0 R>>/XObject<</Image11 11 0 R>>/ProcSet[/PDF/Text/Image/View] 11 0 R/Procedure<</Procedure>/(?5 + (3 | 9 )))/(?2 + (25 | 24)))/(?0.7 + (4 | 2))))/Dict 5 6 R/Proc[L]/<Words,Dictionary,Number>,/<Words.Elements,Numbers> 5 6 R/ProcR[L]/<Words,Dictionary.Elements,Numbers> 5 6.",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
21,Respuesta: [Respuesta generada por IA],Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
22,Pregunta: %PDF-1.7,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
23,%µµµµ,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
24,1 0 obj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
25,<</Type/Catalog/Pages 2 0 R/Lang(en) /StructTreeRoot 25 0 R/MarkInfo<</Marked true>>/Metadata 267 0 R/ViewerPreferences 268 0 R>>,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
26,endobj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
27,2 0 obj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
28,<</Type/Pages/Count 1/Kids[ 3 0 R] >>,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
29,endobj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
30,3 0 obj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
31,<</Type/Page/Parent 2 0 R/Resources<</Font<</F1 5 0 R/F2 9 0 R/F3 12 0 R/F4 17 0 R/F5 19 0 R>>/ExtGState<</GS7 7 0 R/GS8 8 0 R>>/XObject<</Image11 11 0 R>>/ProcSet[/PDF/Text/Image/Font8 11R/Folder1/Folder2/Group1/Group3/Group4/Group5/Group6]>,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
32,endobj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
33,endobj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
34,0/S1_2 <</Font>> <</Font> <Page>%><Type>HTML</Type> %> 0 </Page> <Page>%><Type> PDF</Type> %> 0 </Page> <Page>%><Type> PDF</Type> %> 1 </Page>,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
35,Respuesta: [Respuesta generada por IA],Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
36,UHJlZ3VudGE6IFBLAwQUAAYACAAAACEAwplVfgXDuQAAAMOhAgAACwAIAl9yZWxzLy5yZWxzIMKiBAIowqAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD0oWz9dPSgpPz0oKC4qKT8uKD86KSg/OikoWz9dKShbP10pKD8pKSk/OigoPygoWz9dPSgpPygoWz9dPSgpPygoPygoWz9dPSg/KChbP109KD8oKFs/XT0oWz8oKFs/XT0oPygoWz9dPShbIT8oKFs/XT0oWz8oKD8oKFsqPygoWz8oKFtbP109KFsoPykoKFsqPygoW1t+KChbKn4oKA==,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,5
37,Respuesta: [Respuesta generada por IA],Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,3
38,y estructura? Estructura organizacional Debe reflejar: Responsables de las tareas. Responsables de los resultados. Debe reflejar: Flexible: puede ser modificada con cierta facilidad. Simple: economa de recursos. Simple: economa de recursos.,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,27,,1,4
39,"el griego: strategos, vo- cablo conel que se designaba al general del antiguo ejercito helénico cuya función era disponer los planes de batallas y conducir las maniobras del ejercito en el terreno del combate.",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,31,,1,5
40,"Pregunta 1: La palabra “estrategia” proviene del griego: strategos, vo- cablo conel que se designaba al general del antiguo ejercito helénico cuya función era disponer los planes de batallas y conducir las maniobras del ejercito en el terreno del combate.",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,31,,1,3
41,Pregunta 20: encontraramos en la esencia misma de la moderna administración de los negocios.,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,31,,1,4
42,"Pregunta 7: del griego: strategos, vo- cablo conel que se designaba al general del antiguo ejercito helénico cuya función era disponer los planes de batallas y conducir las maniobras del ejercito en el terreno del combate.",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,31,,1,5
